                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                  1.942,                 2.5602,                 1.7731,                  1.296,                0.35922,                0.22252,                0.19731,                0.09035,                0.28452,                0.17544,                0.15803,                0.05456,                 2.0266,                 2.7107,                 2.3565,                 1.3331,              0.0015405,              0.0015405,              0.0015405
                     25,                 1.9824,                  2.606,                  1.837,                  1.301,                0.31209,                 0.2617,                 0.2026,                0.09673,                0.27868,                0.26989,                0.19165,                0.07741,                 2.1848,                 2.6373,                 1.8621,                 1.5173,               0.001535,               0.001535,               0.001535
                     26,                 1.9271,                 2.5531,                 1.7874,                 1.2785,                0.31242,                0.25134,                0.18817,                0.09002,                0.26484,                0.17869,                0.13911,                0.05799,                 2.2066,                 2.6842,                 2.2366,                 1.4157,              0.0015295,              0.0015295,              0.0015295
                     27,                 1.8984,                 2.5483,                  1.802,                  1.272,                 0.3223,                0.27043,                0.19902,                0.09016,                0.29497,                0.22599,                0.18486,                0.07278,                 2.1065,                 2.8459,                 2.2958,                 1.3729,               0.001524,               0.001524,               0.001524
                     28,                 1.9493,                  2.601,                 1.8142,                 1.2813,                0.42938,                0.20537,                0.20301,                0.10018,                0.30711,                0.19457,                0.17797,                0.06763,                 1.9821,                 2.6858,                 2.4236,                 1.2722,              0.0015185,              0.0015185,              0.0015185
                     29,                 1.8888,                  2.516,                 1.7275,                 1.2662,                0.41923,                0.17372,                0.18379,                0.09648,                0.39626,                0.15945,                0.16548,                0.07012,                 2.0227,                 2.7533,                 2.5203,                 1.3241,               0.001513,               0.001513,               0.001513
                     30,                  1.878,                 2.5201,                 1.7286,                  1.246,                0.30141,                0.26641,                0.22603,                0.10128,                0.25449,                0.21082,                0.19287,                0.07414,                 2.0416,                 2.6929,                 2.1756,                 1.3387,              0.0015075,              0.0015075,              0.0015075
                     31,                 1.8757,                 2.5077,                 1.7115,                 1.2497,                0.27371,                0.26858,                0.20146,                 0.0985,                 0.2275,                0.24929,                 0.1796,                0.07799,                 2.1276,                 2.8779,                 2.2178,                 1.3743,               0.001502,               0.001502,               0.001502
                     32,                 1.8891,                 2.4905,                 1.7153,                 1.2596,                0.30862,                 0.2939,                 0.2144,                0.10715,                0.27777,                0.24916,                0.18918,                0.07144,                  2.022,                 2.7446,                 2.1946,                 1.2854,              0.0014965,              0.0014965,              0.0014965
                     33,                 1.8299,                 2.4352,                 1.6069,                 1.2441,                0.28593,                0.28267,                 0.2142,                 0.0995,                0.28321,                 0.2411,                 0.1891,                0.07129,                 2.1045,                 2.6016,                 2.4227,                 1.3843,               0.001491,               0.001491,               0.001491
                     34,                 1.8287,                 2.4319,                  1.627,                 1.2258,                0.34247,                 0.2725,                0.20993,                0.09478,                0.29475,                0.22807,                0.19487,                0.07534,                 2.1115,                 2.7877,                 2.3435,                 1.3934,              0.0014855,              0.0014855,              0.0014855
                     35,                 1.7888,                 2.3885,                 1.6084,                 1.2222,                0.31995,                0.27145,                0.21796,                0.11281,                0.29216,                0.26505,                0.20525,                0.08092,                 2.0104,                 2.7807,                 2.2515,                 1.3608,                0.00148,                0.00148,                0.00148
                     36,                 1.8189,                 2.4027,                 1.6168,                 1.2339,                0.33301,                0.28565,                 0.2181,                0.10331,                0.32065,                0.20096,                 0.1685,                0.06498,                 2.1471,                 2.6044,                 2.2696,                 1.3771,              0.0014745,              0.0014745,              0.0014745
                     37,                 1.7903,                 2.3733,                 1.5957,                 1.2185,                0.33749,                0.30625,                 0.2314,                0.11579,                0.35044,                0.20574,                0.19829,                0.07702,                 1.9917,                 2.7555,                 2.4032,                 1.3022,               0.001469,               0.001469,               0.001469
                     38,                 1.7738,                 2.3674,                 1.5296,                 1.2084,                0.29579,                0.30314,                0.20904,                0.10711,                0.28713,                0.23915,                0.18494,                0.07467,                 2.0593,                 2.6723,                 2.1059,                 1.3831,              0.0014635,              0.0014635,              0.0014635
                     39,                 1.7683,                 2.3511,                 1.5441,                 1.2078,                0.30412,                0.29483,                0.21428,                0.10872,                0.30904,                0.22804,                0.19287,                 0.0697,                 1.9544,                 2.6122,                 2.1656,                 1.3419,               0.001458,               0.001458,               0.001458
                     40,                 1.7878,                 2.3489,                  1.562,                 1.1978,                0.42124,                0.25016,                0.21902,                0.10702,                0.31771,                0.23118,                0.19042,                0.07325,                  1.903,                 2.8429,                 2.3761,                 1.2764,              0.0014525,              0.0014525,              0.0014525
                     41,                 1.7529,                 2.3038,                 1.4876,                 1.2018,                0.33928,                0.26617,                0.20542,                0.10412,                0.33366,                 0.1978,                0.18118,                0.07624,                 1.9447,                 2.6509,                 2.4444,                 1.3696,               0.001447,               0.001447,               0.001447
                     42,                 1.7754,                 2.3427,                  1.581,                 1.2032,                0.38824,                0.24192,                 0.2335,                0.11418,                0.34657,                0.20623,                0.20391,                0.08715,                 2.0168,                 2.5634,                 2.2362,                 1.3453,              0.0014415,              0.0014415,              0.0014415
                     43,                 1.7705,                 2.3351,                 1.5006,                 1.1993,                0.31437,                0.26115,                0.21181,                0.09935,                0.28345,                0.22211,                0.19216,                0.07393,                 2.1068,                 2.6258,                 2.0728,                 1.4607,               0.001436,               0.001436,               0.001436
                     44,                 1.7466,                 2.3226,                 1.5133,                 1.1942,                0.39341,                0.24231,                0.21218,                0.10498,                0.40729,                0.19445,                0.19219,                 0.0815,                 2.0967,                 2.5583,                 2.0496,                 1.4572,              0.0014305,              0.0014305,              0.0014305
                     45,                  1.722,                 2.3011,                 1.4745,                 1.1881,                0.31119,                0.25286,                0.19768,                0.09807,                 0.3341,                0.19618,                0.17376,                0.07603,                 2.0799,                 2.8844,                 2.2054,                 1.4431,               0.001425,               0.001425,               0.001425
                     46,                 1.6941,                 2.2251,                 1.4521,                 1.1693,                0.28602,                0.28552,                0.20972,                0.10122,                 0.3005,                0.18942,                0.16838,                0.07124,                 2.0943,                 2.8359,                 2.2882,                 1.4399,              0.0014195,              0.0014195,              0.0014195
                     47,                 1.6996,                 2.2588,                 1.4186,                 1.1796,                0.36196,                0.28416,                0.21191,                 0.1055,                 0.2753,                0.21901,                0.17208,                0.07216,                 2.1301,                 2.7468,                 2.0319,                 1.4716,              0.0014139,              0.0014139,              0.0014139
                     48,                 1.7065,                 2.2498,                 1.3986,                 1.1718,                0.33578,                0.26021,                0.21679,                 0.1104,                0.26336,                0.27485,                0.20014,                  0.079,                 2.0734,                 2.6072,                 2.7504,                 1.3401,              0.0014084,              0.0014084,              0.0014084
                     49,                 1.7095,                 2.2387,                  1.436,                 1.1693,                0.32986,                0.25537,                0.21876,                0.10927,                0.27319,                0.20921,                0.18409,                0.07729,                 2.1092,                 2.5637,                 2.1481,                 1.4322,              0.0014029,              0.0014029,              0.0014029
                     50,                 1.6779,                 2.1869,                 1.3744,                 1.1551,                0.32676,                0.30141,                0.22503,                0.10854,                0.25107,                0.24904,                0.18906,                0.07665,                  2.094,                 2.6226,                 2.9942,                 1.3476,              0.0013974,              0.0013974,              0.0013974
                     51,                 1.6779,                 2.1846,                 1.4093,                 1.1566,                0.30401,                0.29359,                0.23898,                0.11594,                0.40851,                0.19941,                  0.208,                0.08054,                 1.9868,                 2.7252,                 2.3194,                 1.2526,              0.0013919,              0.0013919,              0.0013919
                     52,                 1.6708,                 2.2697,                 1.4095,                 1.1652,                0.35146,                0.27423,                0.21907,                0.09775,                0.31731,                0.20425,                0.16478,                0.06559,                 1.9833,                 2.6729,                 2.5471,                  1.299,              0.0013864,              0.0013864,              0.0013864
                     53,                 1.6607,                 2.2264,                 1.3579,                 1.1632,                0.34666,                0.25649,                0.18453,                0.09178,                0.29501,                0.20896,                0.15622,                0.07105,                 2.1384,                 2.7367,                 2.8564,                 1.3719,              0.0013809,              0.0013809,              0.0013809
                     54,                 1.6584,                 2.2227,                 1.3451,                 1.1534,                0.31648,                0.29371,                0.20972,                0.10503,                0.29427,                 0.2715,                0.19822,                0.07922,                  2.007,                 2.6937,                 3.0738,                 1.3387,              0.0013754,              0.0013754,              0.0013754
