                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.9834,                 2.6074,                 1.8066,                 1.2784,                0.32446,                 0.2549,                 0.2208,                0.11318,                0.30972,                0.20772,                0.20155,                0.07929,                 1.9816,                 2.4836,                 2.4172,                 1.2308,              0.0015405,              0.0015405,              0.0015405
                     25,                 2.0246,                 2.6682,                 1.9015,                 1.2821,                0.35731,                0.24271,                0.21982,                 0.1064,                 0.3024,                0.21256,                0.18604,                0.07336,                 2.2151,                 2.6334,                 1.9799,                 1.4497,               0.001535,               0.001535,               0.001535
                     26,                 1.9779,                 2.5903,                 1.8311,                  1.265,                0.52192,                 0.2071,                0.23247,                0.11605,                0.34411,                0.16119,                0.14953,                0.05493,                 2.1648,                 2.6679,                 2.1136,                 1.3897,              0.0015295,              0.0015295,              0.0015295
                     27,                 1.9306,                 2.5758,                 1.8499,                 1.2586,                0.34998,                0.25835,                0.24547,                0.10394,                 0.3007,                0.19941,                0.18184,                0.06032,                 2.1402,                 2.7815,                  2.312,                 1.2866,               0.001524,               0.001524,               0.001524
                     28,                 2.0049,                 2.6345,                 1.8625,                 1.2704,                  0.336,                0.25448,                0.22631,                0.10545,                0.29218,                0.18352,                0.17416,                0.06257,                  2.219,                 2.7442,                 2.1209,                 1.4033,              0.0015185,              0.0015185,              0.0015185
                     29,                 1.9551,                 2.5679,                 1.7471,                 1.2476,                0.32359,                0.24247,                0.20127,                0.09979,                0.25128,                0.20114,                0.16041,                 0.0689,                  2.099,                 2.5887,                 2.1169,                 1.3344,               0.001513,               0.001513,               0.001513
                     30,                 1.9722,                 2.5948,                 1.7947,                 1.2445,                0.32295,                 0.2746,                0.21607,                0.10759,                0.24724,                0.21094,                0.18638,                0.07947,                 2.1654,                 2.8282,                 2.2551,                  1.387,              0.0015075,              0.0015075,              0.0015075
                     31,                 1.9786,                 2.5767,                 1.7962,                 1.2367,                0.31705,                0.24098,                0.21397,                0.11028,                0.25398,                0.20288,                0.17749,                0.07847,                 1.9424,                 2.6494,                 2.6166,                 1.2118,               0.001502,               0.001502,               0.001502
                     32,                 1.9203,                 2.5041,                 1.7141,                 1.2371,                0.38726,                0.26256,                0.25003,                0.11944,                0.25833,                0.23477,                0.19318,                0.07035,                  2.002,                  2.588,                 1.9392,                 1.3504,              0.0014965,              0.0014965,              0.0014965
                     33,                 1.8776,                  2.466,                 1.6377,                 1.2242,                0.39018,                0.27907,                0.26612,                0.12852,                0.30711,                0.20102,                 0.1857,                0.06961,                 2.1013,                 2.7428,                 1.9481,                 1.3704,               0.001491,               0.001491,               0.001491
