                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.9298,                 1.8935,                 1.6063,                0.32202,                0.28093,                0.22227,                0.09543,                 2.0914,                 2.4019,                  1.844,                0.00148,                0.00148,                0.00148
                     36,                  1.899,                 1.8024,                 1.5875,                0.37173,                0.26579,                0.20931,                0.09461,                 2.1874,                 2.3688,                  1.964,              0.0014745,              0.0014745,              0.0014745
                     37,                 1.8796,                 1.7666,                 1.5631,                0.39201,                0.22969,                0.24521,                0.10948,                 2.1207,                 2.2381,                 1.8446,               0.001469,               0.001469,               0.001469
                     38,                 1.8726,                 1.7102,                 1.5559,                0.28842,                0.30253,                0.21928,                0.09158,                 2.1256,                  2.574,                 1.8828,              0.0014635,              0.0014635,              0.0014635
                     39,                 1.8773,                 1.7452,                 1.5577,                0.29832,                 0.3302,                0.25881,                0.12602,                 2.0827,                 2.1957,                 1.8129,               0.001458,               0.001458,               0.001458
                     40,                 1.8887,                 1.7316,                 1.5459,                0.33087,                0.29008,                0.23636,                 0.1051,                 2.1636,                 2.0848,                 1.9473,              0.0014525,              0.0014525,              0.0014525
                     41,                 1.8573,                 1.6806,                 1.5471,                 0.2913,                0.28193,                0.18843,                0.08389,                 2.1915,                 2.4327,                 2.0344,               0.001447,               0.001447,               0.001447
                     42,                 1.8576,                 1.7303,                 1.5501,                0.34681,                 0.2988,                0.24102,                0.10669,                 2.1813,                 2.0926,                 1.8694,              0.0014415,              0.0014415,              0.0014415
                     43,                 1.8853,                 1.6837,                  1.556,                0.33111,                 0.2871,                0.21982,                0.09911,                 2.0971,                 2.0513,                 1.9692,               0.001436,               0.001436,               0.001436
                     44,                 1.8463,                 1.6968,                 1.5513,                0.38382,                0.29161,                 0.2365,                0.11283,                 2.1588,                 2.0365,                 2.0267,              0.0014305,              0.0014305,              0.0014305
                     45,                 1.8309,                 1.6973,                 1.5285,                0.30766,                0.22758,                 0.2024,                0.10035,                 2.2496,                 2.3439,                 1.9979,               0.001425,               0.001425,               0.001425
                     46,                 1.8238,                 1.6637,                 1.5133,                0.33187,                0.30513,                 0.2284,                0.12278,                 2.1022,                 2.1005,                 1.8922,              0.0014195,              0.0014195,              0.0014195
                     47,                 1.7928,                 1.5659,                 1.5025,                0.34338,                0.31903,                0.25516,                0.12201,                 2.1689,                 1.9079,                 1.9165,              0.0014139,              0.0014139,              0.0014139
                     48,                 1.7971,                 1.5882,                 1.5051,                0.32555,                0.30762,                 0.2347,                0.11375,                 2.1763,                 2.3038,                 1.9458,              0.0014084,              0.0014084,              0.0014084
                     49,                 1.8154,                 1.6746,                 1.5164,                0.32347,                0.31212,                0.22107,                0.10562,                 2.1903,                 2.6476,                 2.0624,              0.0014029,              0.0014029,              0.0014029
                     50,                 1.7609,                 1.5512,                 1.4789,                0.35919,                 0.2959,                0.25978,                0.11868,                 2.2187,                 2.3685,                 1.9594,              0.0013974,              0.0013974,              0.0013974
                     51,                 1.7466,                 1.5371,                 1.4713,                0.36011,                0.31096,                0.24538,                0.11169,                 2.1875,                 2.1608,                 1.9673,              0.0013919,              0.0013919,              0.0013919
                     52,                 1.7693,                  1.539,                 1.4861,                0.38606,                0.26903,                0.24498,                0.11509,                 2.1798,                 2.2159,                 1.9104,              0.0013864,              0.0013864,              0.0013864
                     53,                 1.7499,                 1.5175,                 1.4797,                0.40236,                0.27399,                0.25503,                 0.1205,                 2.1721,                 2.2268,                  1.914,              0.0013809,              0.0013809,              0.0013809
                     54,                 1.7681,                 1.5113,                 1.4795,                0.29724,                0.29869,                0.22435,                0.11245,                 2.1814,                 2.1726,                  2.071,              0.0013754,              0.0013754,              0.0013754
                     55,                  1.756,                 1.5221,                 1.4811,                  0.424,                0.26352,                0.25601,                0.12302,                 2.1599,                 2.3042,                 1.9463,              0.0013699,              0.0013699,              0.0013699
                     56,                 1.7781,                 1.5508,                  1.485,                0.37163,                0.28254,                0.25451,                  0.123,                 2.1721,                 2.3372,                 1.9202,              0.0013644,              0.0013644,              0.0013644
                     57,                 1.7075,                 1.4978,                 1.4465,                0.37171,                0.28056,                0.24481,                0.12178,                 2.1413,                 2.1573,                 1.9425,              0.0013589,              0.0013589,              0.0013589
                     58,                 1.7361,                 1.4893,                 1.4579,                 0.3622,                0.28863,                0.24558,                0.12067,                  2.162,                 2.2524,                 1.9085,              0.0013534,              0.0013534,              0.0013534
                     59,                 1.7466,                 1.4898,                 1.4553,                0.29758,                0.29605,                0.23634,                0.10498,                 2.2434,                 2.3076,                 2.0488,              0.0013479,              0.0013479,              0.0013479
                     60,                 1.7132,                 1.4589,                 1.4465,                0.41431,                0.25674,                0.25252,                0.12454,                 2.1749,                 2.1769,                  1.871,              0.0013424,              0.0013424,              0.0013424
                     61,                  1.669,                 1.4032,                 1.4191,                0.38721,                0.32064,                0.24966,                0.12453,                 2.0413,                 1.9764,                 1.8574,              0.0013369,              0.0013369,              0.0013369
                     62,                  1.687,                 1.3933,                 1.4348,                  0.358,                  0.317,                0.24786,                0.12063,                 2.1471,                 2.1818,                 1.9766,              0.0013314,              0.0013314,              0.0013314
