                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.8086,                 1.4846,                  1.503,                0.37844,                0.28254,                0.23572,                0.09334,                 2.2311,                 2.1984,                 1.8368,                0.00148,                0.00148,                0.00148
                     36,                 1.8238,                 1.4878,                 1.4967,                0.36564,                 0.2617,                0.20913,                0.09936,                 2.2403,                 2.3384,                 1.7964,              0.0014745,              0.0014745,              0.0014745
                     37,                 1.7959,                 1.4366,                 1.4788,                0.32916,                0.28552,                0.22925,                0.11024,                 2.2246,                  2.269,                 1.8091,               0.001469,               0.001469,               0.001469
                     38,                 1.7887,                 1.4045,                 1.4713,                0.30685,                0.30488,                0.21948,                0.10683,                 2.2018,                 2.2856,                 1.8071,              0.0014635,              0.0014635,              0.0014635
                     39,                 1.7906,                 1.4071,                 1.4679,                0.33688,                0.24892,                0.18447,                0.08173,                 2.2486,                 2.4094,                 1.8099,               0.001458,               0.001458,               0.001458
                     40,                 1.7716,                 1.3904,                 1.4607,                0.38322,                0.26526,                 0.2449,                0.10916,                 2.2251,                 2.2589,                 1.7966,              0.0014525,              0.0014525,              0.0014525
                     41,                 1.7621,                 1.3655,                 1.4682,                0.33214,                0.31258,                0.25213,                0.11753,                 2.2721,                 2.2469,                 1.8701,               0.001447,               0.001447,               0.001447
                     42,                  1.781,                 1.3918,                 1.4646,                0.39932,                 0.2711,                0.23186,                0.11607,                 2.1988,                 2.2391,                  1.775,              0.0014415,              0.0014415,              0.0014415
                     43,                 1.7346,                 1.3307,                 1.4332,                0.29836,                0.29657,                0.20462,                0.09229,                 2.2899,                 2.3173,                 1.8671,               0.001436,               0.001436,               0.001436
                     44,                 1.7282,                 1.3237,                 1.4407,                0.32563,                0.25755,                0.19839,                 0.0903,                 2.2844,                 2.2654,                 1.8769,              0.0014305,              0.0014305,              0.0014305
                     45,                 1.7125,                 1.3075,                 1.4322,                 0.2536,                0.29334,                0.19276,                0.09017,                 2.2513,                  2.364,                 1.8763,               0.001425,               0.001425,               0.001425
                     46,                 1.6917,                 1.2893,                 1.4127,                0.40992,                0.25686,                0.24934,                0.12013,                  2.214,                 2.3416,                 1.7694,              0.0014195,              0.0014195,              0.0014195
                     47,                  1.711,                 1.2952,                 1.4248,                0.33814,                0.27771,                0.21484,                0.09431,                 2.2244,                 2.3538,                 1.7639,              0.0014139,              0.0014139,              0.0014139
                     48,                  1.701,                 1.2894,                 1.4187,                0.32878,                0.27609,                0.21127,                0.09624,                 2.1872,                 2.3532,                 1.8059,              0.0014084,              0.0014084,              0.0014084
                     49,                  1.695,                  1.289,                 1.4052,                0.31072,                0.31052,                0.20062,                  0.091,                 2.1937,                 2.2927,                 1.7989,              0.0014029,              0.0014029,              0.0014029
                     50,                 1.6575,                 1.2325,                 1.3886,                0.32297,                0.33218,                0.22432,                0.10309,                  2.196,                 2.2485,                 1.7741,              0.0013974,              0.0013974,              0.0013974
                     51,                 1.6566,                 1.2307,                  1.391,                0.40919,                0.27597,                0.22747,                0.10363,                 2.2307,                 2.2074,                 1.8276,              0.0013919,              0.0013919,              0.0013919
                     52,                  1.677,                 1.2422,                 1.3948,                0.41437,                0.25674,                0.22527,                0.10115,                 2.2296,                 2.2572,                 1.8319,              0.0013864,              0.0013864,              0.0013864
                     53,                 1.6248,                 1.1787,                 1.3735,                0.32365,                 0.2648,                0.17618,                0.07503,                 2.2531,                 2.3775,                 1.8632,              0.0013809,              0.0013809,              0.0013809
                     54,                 1.6172,                 1.1772,                 1.3635,                0.41956,                 0.2596,                0.24176,                0.10326,                 2.2684,                 2.3386,                 1.8235,              0.0013754,              0.0013754,              0.0013754
                     55,                 1.6349,                 1.1911,                 1.3629,                0.33474,                0.28677,                0.22414,                0.11342,                 2.1693,                 2.3303,                 1.7415,              0.0013699,              0.0013699,              0.0013699
                     56,                  1.639,                 1.1929,                 1.3709,                0.35783,                0.29831,                0.23305,                0.11075,                 2.2314,                 2.2824,                 1.8441,              0.0013644,              0.0013644,              0.0013644
                     57,                 1.5953,                 1.1308,                 1.3393,                0.30785,                0.29334,                0.19692,                0.09571,                  2.225,                 2.3931,                 1.8668,              0.0013589,              0.0013589,              0.0013589
                     58,                 1.5719,                 1.1257,                 1.3413,                0.37507,                0.30571,                0.24387,                0.09771,                 2.2479,                  2.362,                 1.8356,              0.0013534,              0.0013534,              0.0013534
                     59,                 1.6171,                 1.1582,                 1.3511,                0.40315,                0.25698,                0.21212,                0.09964,                 2.3786,                 2.3155,                 1.9545,              0.0013479,              0.0013479,              0.0013479
                     60,                 1.6084,                 1.1423,                 1.3389,                0.27976,                0.27299,                0.18362,                  0.085,                 2.2554,                 2.4649,                 1.8635,              0.0013424,              0.0013424,              0.0013424
                     61,                 1.5673,                 1.1037,                  1.325,                0.27514,                 0.2715,                0.20267,                0.08655,                 2.3376,                   2.39,                 1.8817,              0.0013369,              0.0013369,              0.0013369
                     62,                 1.5686,                 1.1043,                 1.3214,                0.35291,                0.28242,                0.21597,                0.09948,                 2.2722,                 2.4066,                 1.8171,              0.0013314,              0.0013314,              0.0013314
                     63,                 1.5572,                 1.0903,                 1.3173,                0.41281,                 0.2694,                0.25508,                 0.1091,                 2.2279,                 2.3026,                 1.8327,              0.0013259,              0.0013259,              0.0013259
                     64,                 1.5435,                 1.0699,                 1.3101,                0.40765,                0.24073,                0.21254,                0.10418,                 2.2719,                 2.4102,                 1.8382,              0.0013204,              0.0013204,              0.0013204
                     65,                 1.5448,                 1.0698,                 1.3085,                0.33594,                0.28875,                0.21522,                0.09777,                 2.2902,                 2.3339,                 1.8685,              0.0013149,              0.0013149,              0.0013149
                     66,                  1.544,                 1.0638,                 1.3036,                0.34289,                0.23949,                0.18836,                0.08559,                  2.258,                   2.35,                 1.8745,              0.0013094,              0.0013094,              0.0013094
                     67,                 1.5509,                  1.074,                 1.3156,                0.24175,                0.33181,                0.19679,                0.09296,                  2.288,                  2.387,                 1.8746,              0.0013039,              0.0013039,              0.0013039
                     68,                  1.532,                 1.0479,                 1.3006,                0.30536,                0.27422,                0.20558,                0.09329,                 2.2811,                 2.4184,                 1.8755,              0.0012984,              0.0012984,              0.0012984
                     69,                 1.5272,                 1.0491,                 1.2963,                 0.3518,                0.23589,                0.19459,                0.09116,                 2.3259,                 2.4187,                  1.925,              0.0012929,              0.0012929,              0.0012929
                     70,                  1.522,                 1.0296,                 1.2914,                0.39647,                0.26827,                0.23621,                0.10651,                 2.3219,                 2.4127,                 1.9548,              0.0012874,              0.0012874,              0.0012874
                     71,                 1.4799,                0.99732,                 1.2642,                 0.3032,                0.29359,                0.21062,                0.09923,                 2.2839,                 2.4614,                  1.942,              0.0012819,              0.0012819,              0.0012819
                     72,                  1.497,                 1.0082,                  1.267,                0.31915,                0.28409,                0.22142,                0.10714,                 2.3673,                 2.3503,                 1.9907,              0.0012764,              0.0012764,              0.0012764
                     73,                 1.4936,                 1.0148,                 1.2854,                0.29275,                0.28726,                0.21371,                0.10314,                 2.2854,                 2.4122,                 1.8662,              0.0012709,              0.0012709,              0.0012709
                     74,                 1.4922,                 1.0213,                  1.279,                0.33095,                0.24085,                0.17787,                0.08119,                  2.366,                 2.5227,                 1.9949,              0.0012654,              0.0012654,              0.0012654
                     75,                 1.4858,                 1.0052,                 1.2682,                0.28749,                0.30653,                0.19864,                  0.084,                 2.3559,                 2.5113,                 1.9841,              0.0012599,              0.0012599,              0.0012599
                     76,                 1.4718,                0.98767,                 1.2681,                0.42697,                0.24557,                0.20585,                0.09468,                 2.2941,                 2.4963,                 1.9225,              0.0012544,              0.0012544,              0.0012544
